date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:43:58	2203/2203	---M--	200	added ('OK')	image/png	etag:%2289b-50c595bbfe9e6%22	http://my.teslamotors.com/tesla_theme/assets/img/icons/favicon-96x96.png?2	C:/My%20Web%20Sites/tesla/my.teslamotors.com/tesla_theme/assets/img/icons/favicon-96x96c81e.png	(from http://my.teslamotors.com/models/design)
19:43:58	366/366	---M--	200	added ('OK')	image/png	etag:%2216e-50c596fed5240%22	http://my.teslamotors.com/tesla_theme/assets/img/icons/favicon-16x16.png?2	C:/My%20Web%20Sites/tesla/my.teslamotors.com/tesla_theme/assets/img/icons/favicon-16x16c81e.png	(from http://my.teslamotors.com/models/design)
19:43:58	724/724	---M--	200	added ('OK')	image/png	etag:%222d4-50c596fed5240%22	http://my.teslamotors.com/tesla_theme/assets/img/icons/favicon-32x32.png?2	C:/My%20Web%20Sites/tesla/my.teslamotors.com/tesla_theme/assets/img/icons/favicon-32x32c81e.png	(from http://my.teslamotors.com/models/design)
19:43:59	290445/290445	---M-Z	200	added ('OK')	text/css	etag:%2246e8d-50e747ababa16%22	http://my.teslamotors.com/sites/default/files/css/css_a35a2eecd3c3eb40c0cc2a202ce3d834.css	C:/My%20Web%20Sites/tesla/my.teslamotors.com/sites/default/files/css/css_a35a2eecd3c3eb40c0cc2a202ce3d834.css	(from http://my.teslamotors.com/models/design)
19:43:59	458/458	---M-Z	200	added ('OK')	text/css	etag:%221ca-50e747aa46395%22	http://my.teslamotors.com/sites/default/files/css/css_34f4b7541185d829278d04510f999989.css	C:/My%20Web%20Sites/tesla/my.teslamotors.com/sites/default/files/css/css_34f4b7541185d829278d04510f999989.css	(from http://my.teslamotors.com/models/design)
19:43:59	318061/318061	---M-Z	200	added ('OK')	text/css	etag:%224da6d-50e7424167500%22	http://my.teslamotors.com/sites/all/themes/tesla/configurator/css/min/web_styles.min.css?o	C:/My%20Web%20Sites/tesla/my.teslamotors.com/sites/all/themes/tesla/configurator/css/min/web_styles.mind956.css	(from http://my.teslamotors.com/models/design)
19:43:59	153/153	---M--	302	error ('Moved%20Temporarily')	text/html	etag:%22b4870a38eebc62bfa55cf3e1f4d3a3a8:1415902604%22	http://cloud.typography.com/7862292/665864/css/fonts.css	C:/My%20Web%20Sites/tesla/cloud.typography.com/7862292/665864/css/fonts.15.delayed	(from http://my.teslamotors.com/models/design)
19:44:00	5794/5794	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c81050b341ad01:0%22	http://img.en25.com/i/elqCfg.min.js	C:/My%20Web%20Sites/tesla/img.en25.com/i/elqCfg.min.js	(from http://my.teslamotors.com/models/design)
19:44:01	42/42	---M--	302	error ('Found')	image/gif	date:Sat,%2007%20Feb%202015%2000:43:39%20GMT	http://www.googleadservices.com/pagead/conversion/1022916095/?label=v2sDCJnZ7QEQ_-vh5wM&guid=ON&script=0	C:/My%20Web%20Sites/tesla/www.googleadservices.com/pagead/conversion/1022916095/indexfb77.html	(from http://my.teslamotors.com/models/design)
19:44:01	1435/1435	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Feb%202015%2000:43:40%20GMT	http://www.googleadservices.com/robots.txt		(from http://my.teslamotors.com/models/design)
